=== NODES ===
Numeric_ID Amazon_Stop_ID Latitude Longitude Demand ServiceTime ReadyTime DueTime
0 PX 33.688122 -117.847178 0.000000 0.000 0.000 86400.000
4 AS 33.669157 -117.687493 1.310000 23.000 0.000 86400.000
21 CH 33.672710 -117.687000 0.890000 31.000 0.000 86400.000
25 CR 33.674763 -117.670235 1.990000 123.000 0.000 86400.000
31 EU 33.670616 -117.675528 4.870000 112.000 0.000 86400.000
42 HD 33.673922 -117.682690 0.860000 35.000 0.000 86400.000
44 HU 33.673675 -117.682272 3.370000 22.500 0.000 86400.000
68 MT 33.673711 -117.683541 1.990000 68.000 0.000 86400.000
71 NH 33.672604 -117.686019 2.870000 39.500 0.000 86400.000
77 PF 33.671872 -117.687980 0.860000 36.000 0.000 86400.000
81 QA 33.671973 -117.682900 3.630000 19.000 0.000 86400.000
84 QJ 33.674749 -117.683442 0.890000 78.000 0.000 86400.000
93 SA 33.677588 -117.674459 0.860000 80.000 0.000 86400.000
103 TF 33.669241 -117.688311 5.280000 13.500 0.000 86400.000
104 TK 33.668310 -117.680471 5.770000 36.700 0.000 86400.000
108 UB 33.663929 -117.690061 0.050000 74.000 0.000 86400.000
114 UW 33.667075 -117.672342 1.990000 45.000 0.000 86400.000
121 WK 33.676415 -117.674069 0.820000 94.000 0.000 86400.000
123 WZ 33.658985 -117.672844 1.070000 476.500 0.000 86400.000
129 YD 33.671676 -117.680917 0.420000 28.000 0.000 86400.000
131 YM 33.675091 -117.671660 6.960000 22.800 0.000 86400.000

=== MATRIX ===
FROM_ID	TO_ID	Distanza_m	Tempo_secondi
0	4	23014.800	1235.400
0	21	23682.300	1266.000
0	25	24949.600	1333.200
0	31	24676.400	1350.600
0	42	23754.200	1267.200
0	44	23427.100	1182.600
0	68	23740.900	1264.200
0	71	23645.500	1257.000
0	77	23807.600	1296.000
0	81	23544.800	1237.200
0	84	23692.800	1252.800
0	93	24303.200	1253.400
0	103	22940.100	1217.400
0	104	23882.300	1279.800
0	108	23647.800	1258.200
0	114	24691.800	1384.800
0	121	24491.000	1298.400
0	123	27371.700	1404.600
0	129	23668.100	1267.200
0	131	24776.600	1306.800
4	0	23014.800	1235.400
4	21	1521.600	212.400
4	25	2788.900	280.200
4	31	1523.900	289.200
4	42	1593.500	213.600
4	44	1266.400	129.600
4	68	1580.200	210.600
4	71	1484.800	204.000
4	77	1646.900	243.000
4	81	682.800	163.800
4	84	1532.100	199.200
4	93	2274.600	216.600
4	103	113.300	27.000
4	104	1020.400	206.400
4	108	1166.400	150.600
4	114	2210.300	277.200
4	121	2498.500	250.200
4	123	2587.900	324.000
4	129	806.100	193.800
4	131	2615.900	253.800
21	0	23682.300	1266.000
21	4	1521.600	212.400
21	25	2229.600	267.000
21	31	1956.400	284.400
21	42	604.800	129.000
21	44	707.200	116.400
21	68	591.500	126.000
21	71	116.200	27.600
21	77	186.400	44.400
21	81	824.800	170.400
21	84	543.400	114.600
21	93	1715.300	203.400
21	103	1438.800	202.800
21	104	1162.400	213.600
21	108	2146.600	243.000
21	114	2122.700	352.800
21	121	1939.200	237.000
21	123	3568.100	416.400
21	129	948.100	200.400
21	131	2056.600	240.600
25	0	24949.600	1333.200
25	4	2788.900	280.200
25	21	2229.600	267.000
25	31	1671.400	231.600
25	42	2281.200	258.000
25	44	2003.500	191.400
25	68	2267.900	255.000
25	71	2172.500	247.800
25	77	2334.500	286.800
25	81	2121.200	246.000
25	84	2219.800	243.600
25	93	739.100	136.800
25	103	2735.200	277.800
25	104	2458.700	288.600
25	108	2865.200	277.200
25	114	1757.000	229.800
25	121	773.100	145.200
25	123	2467.900	301.800
25	129	2244.500	275.400
25	131	187.900	37.800
31	0	24676.400	1350.600
31	4	1523.900	289.200
31	21	1956.400	284.400
31	25	1671.400	231.600
31	42	2019.600	274.800
31	44	1467.800	208.200
31	68	2006.300	271.800
31	71	1911.000	264.600
31	77	2073.000	303.600
31	81	1224.400	209.400
31	84	1958.300	259.800
31	93	1606.900	227.400
31	103	1941.800	254.400
31	104	886.400	183.000
31	108	1952.700	196.800
31	114	844.500	149.400
31	121	1830.800	261.600
31	123	1555.500	221.400
31	129	1347.700	239.400
31	131	1948.200	264.600
42	0	23754.200	1267.200
42	4	1593.500	213.600
42	21	604.800	129.000
42	25	2281.200	258.000
42	31	2019.600	274.800
42	44	779.000	117.600
42	68	102.600	24.600
42	71	568.000	120.000
42	77	730.000	159.000
42	81	896.700	172.200
42	84	147.000	35.400
42	93	1787.200	204.600
