=== NODES ===
Numeric_ID Amazon_Stop_ID Latitude Longitude Demand ServiceTime ReadyTime DueTime
0 PX 33.688122 -117.847178 0.000000 0.000 0.000 86400.000
15 BT 33.661519 -117.670700 0.440000 38.000 0.000 86400.000
18 BZ 33.659252 -117.675343 2.380000 36.500 0.000 86400.000
20 CG 33.664173 -117.691951 1.720000 19.500 0.000 86400.000
21 CH 33.672710 -117.687000 0.890000 31.000 0.000 86400.000
30 EM 33.670468 -117.687264 1.990000 16.000 0.000 86400.000
33 FI 33.669972 -117.674282 7.150000 69.000 0.000 86400.000
53 KP 33.666065 -117.691736 2.240000 35.000 0.000 86400.000
58 LP 33.672658 -117.682564 0.860000 15.000 0.000 86400.000
62 MC 33.673885 -117.667554 5.920000 48.700 0.000 86400.000
66 MO 33.668337 -117.679770 0.350000 23.000 0.000 86400.000
70 MV 33.669854 -117.684091 10.600000 30.000 0.000 86400.000
71 NH 33.672604 -117.686019 2.870000 39.500 0.000 86400.000
83 QI 33.668830 -117.681306 0.520000 11.000 0.000 86400.000
97 SJ 33.670660 -117.685029 4.740000 45.300 0.000 86400.000
113 US 33.666352 -117.676850 0.120000 37.000 0.000 86400.000
117 VF 33.665705 -117.684551 8.990000 135.000 0.000 86400.000
122 WY 33.669982 -117.684831 1.990000 89.000 0.000 86400.000
124 XD 33.674852 -117.682900 8.720000 30.500 0.000 86400.000
129 YD 33.671676 -117.680917 0.420000 28.000 0.000 86400.000
130 YG 33.668487 -117.690842 0.180000 732.000 0.000 86400.000

=== MATRIX ===
FROM_ID	TO_ID	Distanza_m	Tempo_secondi
0	15	27002.300	1359.600
0	18	27540.300	1450.800
0	20	23537.500	1258.200
0	21	23682.300	1266.000
0	30	23181.700	1275.600
0	33	24460.700	1373.400
0	53	23228.300	1224.600
0	58	23657.100	1264.200
0	62	25361.300	1413.600
0	66	23893.800	1284.600
0	70	23572.300	1243.800
0	71	23645.500	1257.000
0	83	23801.500	1262.400
0	97	23576.600	1245.000
0	113	24474.600	1359.600
0	117	23728.600	1318.800
0	122	23594.300	1249.200
0	124	23704.300	1255.200
0	129	23668.100	1267.200
0	130	23003.600	1233.000
15	0	27002.300	1359.600
15	18	538.100	90.600
15	20	2372.000	274.200
15	21	2631.700	404.400
15	30	2720.900	367.200
15	33	1371.200	217.200
15	53	2480.400	270.600
15	58	2245.300	349.800
15	62	2251.000	337.200
15	66	1731.700	282.600
15	70	2160.600	329.400
15	71	2594.900	396.000
15	83	1795.000	278.400
15	97	2164.900	330.600
15	113	1164.700	178.800
15	117	1551.900	215.400
15	122	2182.500	334.800
15	124	2653.600	393.600
15	129	2256.300	352.800
15	130	2542.800	324.600
18	0	27540.300	1450.800
18	15	538.100	90.600
18	20	2798.600	343.800
18	21	3058.300	474.600
18	30	3147.400	436.800
18	33	1797.800	287.400
18	53	2907.000	340.200
18	58	2671.900	420.000
18	62	2677.500	407.400
18	66	2158.300	352.200
18	70	2587.200	399.600
18	71	3021.500	465.600
18	83	2221.500	348.600
18	97	2591.500	400.200
18	113	1591.300	248.400
18	117	1978.500	285.000
18	122	2609.100	405.000
18	124	3080.200	463.800
18	129	2682.900	422.400
18	130	2969.300	394.200
20	0	23537.500	1258.200
20	15	2372.000	274.200
20	18	2798.600	343.800
20	21	2044.300	235.200
20	30	1222.900	190.800
20	33	2489.100	283.200
20	53	309.100	33.600
20	58	2019.100	233.400
20	62	3723.300	382.800
20	66	2255.800	253.800
20	70	1934.300	213.600
20	71	2007.500	226.800
20	83	2163.500	231.600
20	97	1938.600	214.200
20	113	2228.700	229.200
20	117	1482.800	188.400
20	122	1281.200	204.600
20	124	2066.300	224.400
20	129	2030.100	236.400
20	130	1044.800	148.200
21	0	23682.300	1266.000
21	15	2631.700	404.400
21	18	3058.300	474.600
21	20	2044.300	235.200
21	30	1153.600	249.600
21	33	1740.700	307.200
21	53	1727.100	209.400
21	58	937.100	197.400
21	62	2641.400	346.800
21	66	1173.900	217.800
21	70	852.400	177.600
21	71	116.200	27.600
21	83	1081.500	195.600
21	97	856.700	178.200
21	113	1905.400	327.600
21	117	2227.400	304.200
21	122	874.300	182.400
21	124	554.900	117.000
21	129	948.100	200.400
21	130	1502.300	217.800
30	0	23181.700	1275.600
30	15	2720.900	367.200
30	18	3147.400	436.800
30	20	1222.900	190.800
30	21	1153.600	249.600
30	33	1571.500	293.400
30	53	913.800	157.200
30	58	767.900	184.200
30	62	2833.300	386.400
30	66	1004.700	204.600
30	70	399.800	96.000
30	71	1117.500	229.800
30	83	912.400	182.400
30	97	360.100	86.400
30	113	2160.000	292.200
30	117	1414.100	251.400
30	122	279.600	67.200
30	124	1176.200	228.000
30	129	779.000	187.200
30	130	689.000	165.600
33	0	24460.700	1373.400
33	15	1371.200	217.200
33	18	1797.800	287.400
33	20	2489.100	283.200
33	21	1740.700	307.200
33	30	1571.500	293.400
33	53	2017.800	226.800
33	58	1411.500	247.800
33	62	1842.300	309.600
33	66	897.900	180.000
33	70	1326.800	227.400
33	71	1761.100	293.400
33	83	961.200	176.400
33	97	1331.100	228.600
33	113	702.100	135.600
33	117	1454.100	220.200
33	122	1348.700	232.800
33	124	1819.800	291.600
33	129	1422.500	250.200
33	130	2080.200	280.800
53	0	23228.300	1224.600
53	15	2480.400	270.600
53	18	2907.000	340.200
53	20	309.100	33.600
53	21	1727.100	209.400
53	30	913.800	157.200
53	33	2017.800	226.800
53	58	1709.900	199.800
53	62	3414.200	349.200
53	66	1946.700	220.200
53	70	1625.200	179.400
53	71	1698.400	192.600
53	83	1854.400	198.000
53	97	1629.500	180.600
53	113	1919.600	195.600
53	117	1173.600	154.800
53	122	972.000	171.000
53	124	1757.100	190.800
53	129	1720.900	202.800
53	130	735.700	114.000
58	0	23657.100	1264.200
58	15	2245.300	349.800
58	18	2671.900	420.000
58	20	2019.100	233.400
58	21	937.100	197.400
58	30	767.900	184.200
58	33	1411.500	247.800
58	53	1709.900	199.800
58	62	2616.800	334.800
58	66	788.200	152.400
58	70	466.700	112.200
58	71	901.000	178.200
58	83	695.800	130.200
58	97	471.000	112.800
58	113	1519.700	262.200
58	117	2252.200	309.600
58	122	488.600	117.000
58	124	959.700	176.400
58	129	414.400	99.600
58	130	1527.200	223.200
62	0	25361.300	1413.600
62	15	2251.000	337.200
62	18	2677.500	407.400
62	20	3723.300	382.800
62	21	2641.400	346.800
62	30	2833.300	386.400
62	33	1842.300	309.600
62	53	3414.200	349.200
62	58	2616.800	334.800
62	66	2130.600	324.600
62	70	2563.400	330.600
62	71	2587.200	325.800
62	83	2193.900	320.400
62	97	2567.700	331.800
62	113	1563.600	220.800
62	117	2315.600	306.000
62	122	2585.400	335.400
62	124	2645.900	324.000
62	129	2659.200	353.400
62	130	2941.700	366.600
66	0	23893.800	1284.600
66	15	1731.700	282.600
66	18	2158.300	352.200
66	20	2255.800	253.800
66	21	1173.900	217.800
66	30	1004.700	204.600
66	33	897.900	180.000
66	53	1946.700	220.200
66	58	788.200	152.400
66	62	2130.600	324.600
66	70	703.400	132.000
66	71	1137.700	198.600
66	83	219.200	40.800
66	97	707.700	133.200
66	113	1006.100	194.400
66	117	1758.100	279.600
66	122	725.400	137.400
66	124	1196.400	196.200
66	129	799.200	154.800
66	130	1763.900	243.600
70	0	23572.300	1243.800
70	15	2160.600	329.400
70	18	2587.200	399.600
70	20	1934.300	213.600
70	21	852.400	177.600
70	30	399.800	96.000
70	33	1326.800	227.400
70	53	1625.200	179.400
70	58	466.700	112.200
70	62	2563.400	330.600
70	66	703.400	132.000
70	71	816.300	157.800
70	83	611.100	109.800
70	97	262.600	63.000
70	113	1435.000	241.800
70	117	2167.500	289.200
70	122	120.500	28.800
70	124	875.000	156.000
70	129	477.700	114.600
70	130	1442.400	202.800
71	0	23645.500	1257.000
71	15	2594.900	396.000
71	18	3021.500	465.600
71	20	2007.500	226.800
71	21	116.200	27.600
71	30	1117.500	229.800
71	33	1761.100	293.400
71	53	1698.400	192.600
71	58	901.000	178.200
71	62	2587.200	325.800
71	66	1137.700	198.600
71	70	816.300	157.800
71	83	1044.800	186.600
71	97	819.900	169.800
71	113	1868.600	318.600
71	117	2190.600	295.200
71	122	837.500	174.000
71	124	518.100	108.000
71	129	911.400	191.400
71	130	1465.600	209.400
83	0	23801.500	1262.400
83	15	1795.000	278.400
83	18	2221.500	348.600
83	20	2163.500	231.600
83	21	1081.500	195.600
83	30	912.400	182.400
83	33	961.200	176.400
83	53	1854.400	198.000
83	58	695.800	130.200
83	62	2193.900	320.400
83	66	219.200	40.800
83	70	611.100	109.800
83	71	1044.800	186.600
83	97	615.400	111.000
83	113	1069.400	190.800
83	117	1821.300	275.400
83	122	633.000	115.200
83	124	1104.100	174.000
83	129	706.800	133.200
83	130	1671.600	221.400
97	0	23576.600	1245.000
97	15	2164.900	330.600
97	18	2591.500	400.200
97	20	1938.600	214.200
97	21	856.700	178.200
97	30	360.100	86.400
97	33	1331.100	228.600
97	53	1629.500	180.600
97	58	471.000	112.800
97	62	2567.700	331.800
97	66	707.700	133.200
97	70	262.600	63.000
97	71	819.900	169.800
97	83	615.400	111.000
97	113	1439.300	242.400
97	117	1552.800	285.000
97	122	142.400	34.200
97	124	879.300	157.200
97	129	482.000	115.800
97	130	827.800	198.600
113	0	24474.600	1359.600
113	15	1164.700	178.800
113	18	1591.300	248.400
113	20	2228.700	229.200
113	21	1905.400	327.600
113	30	2160.000	292.200
113	33	702.100	135.600
113	53	1919.600	195.600
113	58	1519.700	262.200
113	62	1563.600	220.800
113	66	1006.100	194.400
113	70	1435.000	241.800
113	71	1868.600	318.600
113	83	1069.400	190.800
113	97	1439.300	242.400
113	117	774.300	125.400
113	122	1931.900	291.600
113	124	2666.700	322.800
113	129	2005.800	309.000
113	130	1645.200	246.000
117	0	23728.600	1318.800
117	15	1551.900	215.400
117	18	1978.500	285.000
117	20	1482.800	188.400
117	21	2227.400	304.200
117	30	1414.100	251.400
117	33	1454.100	220.200
117	53	1173.600	154.800
117	58	2252.200	309.600
117	62	2315.600	306.000
117	66	1758.100	279.600
117	70	2167.500	289.200
117	71	2190.600	295.200
117	83	1821.300	275.400
117	97	1552.800	285.000
117	113	774.300	125.400
117	122	1472.400	265.200
117	124	2257.400	285.000
117	129	2221.300	297.000
117	130	1236.000	208.800
122	0	23594.300	1249.200
122	15	2182.500	334.800
122	18	2609.100	405.000
122	20	1281.200	204.600
122	21	874.300	182.400
122	30	279.600	67.200
122	33	1348.700	232.800
122	53	972.000	171.000
122	58	488.600	117.000
122	62	2585.400	335.400
122	66	725.400	137.400
122	70	120.500	28.800
122	71	837.500	174.000
122	83	633.000	115.200
122	97	142.400	34.200
122	113	1931.900	291.600
122	117	1472.400	265.200
122	124	896.900	161.400
122	129	499.600	120.000
122	130	747.300	179.400
124	0	23704.300	1255.200
124	15	2653.600	393.600
124	18	3080.200	463.800
124	20	2066.300	224.400
124	21	554.900	117.000
124	30	1176.200	228.000
124	33	1819.800	291.600
124	53	1757.100	190.800
124	58	959.700	176.400
124	62	2645.900	324.000
124	66	1196.400	196.200
124	70	875.000	156.000
124	71	518.100	108.000
124	83	1104.100	174.000
124	97	879.300	157.200
124	113	2666.700	322.800
124	117	2257.400	285.000
124	122	896.900	161.400
124	129	970.100	189.600
124	130	1524.300	207.600
129	0	23668.100	1267.200
129	15	2256.300	352.800
129	18	2682.900	422.400
129	20	2030.100	236.400
129	21	948.100	200.400
129	30	779.000	187.200
129	33	1422.500	250.200
129	53	1720.900	202.800
129	58	414.400	99.600
129	62	2659.200	353.400
129	66	799.200	154.800
129	70	477.700	114.600
129	71	911.400	191.400
129	83	706.800	133.200
129	97	482.000	115.800
129	113	2005.800	309.000
129	117	2221.300	297.000
129	122	499.600	120.000
129	124	970.100	189.600
129	130	1538.200	226.200
130	0	23003.600	1233.000
130	15	2542.800	324.600
130	18	2969.300	394.200
130	20	1044.800	148.200
130	21	1502.300	217.800
130	30	689.000	165.600
130	33	2080.200	280.800
130	53	735.700	114.000
130	58	1527.200	223.200
130	62	2941.700	366.600
130	66	1763.900	243.600
130	70	1442.400	202.800
130	71	1465.600	209.400
130	83	1671.600	221.400
130	97	827.800	198.600
130	113	1645.200	246.000
