=== NODES ===
Numeric_ID Amazon_Stop_ID Latitude Longitude Demand ServiceTime ReadyTime DueTime
0 PX 33.688122 -117.847178 0.000000 0.000 0.000 86400.000
4 AS 33.669157 -117.687493 1.310000 23.000 0.000 86400.000
24 CP 33.663977 -117.691482 1.430000 61.000 0.000 86400.000
27 DO 33.671132 -117.686120 11.340000 46.500 0.000 86400.000
36 GL 33.669387 -117.677772 2.680000 33.000 0.000 86400.000
45 HV 33.671329 -117.678463 2.080000 13.500 0.000 86400.000
47 IF 33.663373 -117.669772 0.940000 43.000 0.000 86400.000
65 ML 33.670314 -117.675969 4.890000 30.300 0.000 86400.000
77 PF 33.671872 -117.687980 0.860000 36.000 0.000 86400.000
81 QA 33.671973 -117.682900 3.630000 19.000 0.000 86400.000
84 QJ 33.674749 -117.683442 0.890000 78.000 2474.084 2917.145
90 RH 33.673479 -117.685965 0.860000 53.000 0.000 86400.000
98 SR 33.669797 -117.673624 1.570000 163.000 0.000 86400.000
100 SV 33.669192 -117.681067 2.210000 31.000 0.000 86400.000
108 UB 33.663929 -117.690061 0.050000 74.000 0.000 86400.000
109 UF 33.669461 -117.675738 0.890000 39.000 0.000 86400.000
111 UJ 33.670591 -117.677620 1.930000 7.000 0.000 86400.000
121 WK 33.676415 -117.674069 0.820000 94.000 0.000 86400.000
122 WY 33.669982 -117.684831 1.990000 89.000 0.000 86400.000
124 XD 33.674852 -117.682900 8.720000 30.500 2422.312 3016.418
130 YG 33.668487 -117.690842 0.180000 732.000 0.000 86400.000

=== MATRIX ===
FROM_ID	TO_ID	Distanza_m	Tempo_secondi
0	4	23014.800	1235.400
0	24	23577.200	1260.600
0	27	23715.200	1278.000
0	36	24094.800	1313.400
0	45	24133.000	1323.000
0	47	27072.100	1377.600
0	65	24398.300	1365.600
0	77	23807.600	1296.000
0	81	23544.800	1237.200
0	84	23692.800	1252.800
0	90	23508.900	1224.600
0	98	25448.100	1384.800
0	100	23883.700	1279.200
0	108	23647.800	1258.200
0	109	24222.900	1323.600
0	111	24048.700	1302.600
0	121	24491.000	1298.400
0	122	23594.300	1249.200
0	124	23704.300	1255.200
0	130	23003.600	1233.000
4	0	23014.800	1235.400
4	24	1095.700	153.000
4	27	440.000	105.600
4	36	1232.900	240.000
4	45	1271.100	249.000
4	47	2575.500	345.000
4	65	1536.400	292.200
4	77	1646.900	243.000
4	81	682.800	163.800
4	84	1532.100	199.200
4	90	1348.200	171.000
4	98	3287.400	331.800
4	100	1021.700	206.400
4	108	1166.400	150.600
4	109	1361.000	250.200
4	111	1186.800	229.200
4	121	2498.500	250.200
4	122	306.800	73.800
4	124	1543.600	202.200
4	130	522.100	125.400
24	0	23577.200	1260.600
24	4	1095.700	153.000
24	27	1454.100	238.800
24	36	2496.500	285.000
24	45	2534.700	294.600
24	47	2850.800	324.600
24	65	2466.500	277.800
24	77	2209.300	267.600
24	81	1946.500	208.800
24	84	2094.500	224.400
24	90	1910.600	196.200
24	98	3353.500	349.800
24	100	2285.400	251.400
24	108	174.300	22.200
24	109	2291.100	235.800
24	111	2450.400	274.200
24	121	3060.900	275.400
24	122	1320.900	207.000
24	124	2106.000	226.800
24	130	1084.500	150.600
27	0	23715.200	1278.000
27	4	440.000	105.600
27	24	1454.100	238.800
27	36	1047.300	195.600
27	45	1085.400	204.600
27	47	2493.600	394.800
27	65	1350.700	247.800
27	77	1121.100	231.000
27	81	497.200	119.400
27	84	1006.400	187.200
27	90	822.500	159.600
27	98	2761.700	319.800
27	100	836.100	161.400
27	108	1524.800	236.400
27	109	1175.300	205.800
27	111	1001.200	184.800
27	121	1972.700	238.800
27	122	195.100	46.800
27	124	1017.800	190.200
27	130	880.500	211.200
36	0	24094.800	1313.400
36	4	1232.900	240.000
36	24	2496.500	285.000
36	27	1047.300	195.600
36	45	523.100	125.400
36	47	1931.300	315.600
36	65	788.400	168.600
36	77	1500.800	266.400
36	81	876.900	154.800
36	84	1386.000	222.600
36	90	1202.100	194.400
36	98	2100.600	315.000
36	100	474.800	111.600
36	108	2341.000	269.400
36	109	613.000	126.600
36	111	438.900	105.000
36	121	2352.400	274.200
36	122	926.400	166.200
36	124	1397.500	225.600
36	130	1964.900	272.400
45	0	24133.000	1323.000
45	4	1271.100	249.000
45	24	2534.700	294.600
45	27	1085.400	204.600
45	36	523.100	125.400
45	47	1969.500	324.600
45	65	826.600	177.600
45	77	1538.900	275.400
45	81	915.000	163.800
45	84	1424.200	231.600
45	90	1240.300	204.000
45	98	2138.800	324.000
45	100	659.100	136.800
45	108	2379.100	279.000
45	109	651.200	135.600
45	111	353.700	85.200
45	121	2390.600	283.200
45	122	964.500	175.800
45	124	1435.600	234.600
45	130	2003.100	282.000
47	0	27072.100	1377.600
47	4	2575.500	345.000
47	24	2850.800	324.600
