=== NODES ===
Numeric_ID Amazon_Stop_ID Latitude Longitude Demand ServiceTime ReadyTime DueTime
0 PX 33.688122 -117.847178 0.000000 0.000 0.000 86400.000
1 AM 33.677001 -117.673163 8.380000 169.000 0.000 86400.000
20 CG 33.664173 -117.691951 1.720000 19.500 4337.353 4579.535
22 CI 33.671871 -117.676429 10.510000 30.700 0.000 86400.000
23 CK 33.673087 -117.685660 1.990000 27.000 1576.266 1652.448
29 EH 33.661775 -117.669870 1.430000 38.000 0.000 86400.000
31 EU 33.670616 -117.675528 4.870000 112.000 0.000 86400.000
38 GQ 33.668863 -117.677141 3.380000 15.500 0.000 86400.000
41 GW 33.663836 -117.682660 8.130000 82.000 0.000 86400.000
42 HD 33.673922 -117.682690 0.860000 35.000 0.000 86400.000
49 IL 33.672767 -117.677127 8.070000 10.200 0.000 86400.000
52 JY 33.664415 -117.691275 7.800000 92.000 0.000 86400.000
70 MV 33.669854 -117.684091 10.600000 30.000 0.000 86400.000
86 QM 33.672295 -117.669751 0.940000 28.000 0.000 86400.000
88 QT 33.669620 -117.688770 2.500000 16.500 0.000 86400.000
93 SA 33.677588 -117.674459 0.860000 80.000 0.000 86400.000
95 SE 33.660437 -117.672706 2.360000 87.000 0.000 86400.000
112 UK 33.667755 -117.685240 0.520000 136.000 0.000 86400.000
117 VF 33.665705 -117.684551 8.990000 135.000 0.000 86400.000
120 VV 33.670856 -117.674301 16.980000 45.000 0.000 86400.000
131 YM 33.675091 -117.671660 6.960000 22.800 0.000 86400.000

=== MATRIX ===
FROM_ID	TO_ID	Distanza_m	Tempo_secondi
0	1	24493.500	1299.000
0	20	23537.500	1258.200
0	22	24552.600	1321.200
0	23	23552.500	1234.800
0	29	26920.200	1354.200
0	31	24676.400	1350.600
0	38	24214.800	1342.200
0	41	23628.300	1296.000
0	42	23754.200	1267.200
0	49	24400.600	1311.600
0	52	23522.900	1248.000
0	70	23572.300	1243.800
0	86	25125.900	1372.800
0	88	23013.300	1235.400
0	93	24303.200	1253.400
0	95	27266.900	1398.600
0	112	23202.700	1225.200
0	117	23728.600	1318.800
0	120	24750.400	1368.600
0	131	24776.600	1306.800
1	0	24493.500	1299.000
1	20	3040.200	288.600
1	22	1740.100	245.400
1	23	1787.100	195.600
1	29	3599.500	349.200
1	31	1863.900	275.400
1	38	2498.800	321.000
1	41	3131.000	326.400
1	42	1988.800	228.000
1	49	1588.100	235.800
1	52	3025.700	278.400
1	70	1856.400	222.600
1	86	971.300	190.200
1	88	2516.100	265.800
1	93	190.600	45.600
1	95	2660.900	357.600
1	112	2705.400	255.600
1	117	3231.400	349.200
1	120	1937.900	292.800
1	131	622.000	124.200
20	0	23537.500	1258.200
20	1	3040.200	288.600
20	22	2914.600	290.400
20	23	1914.500	204.600
20	29	2816.700	299.400
20	31	2414.300	272.400
20	38	2576.800	311.400
20	41	1382.400	166.200
20	42	2116.200	236.400
20	49	2762.600	280.800
20	52	99.200	16.800
20	70	1934.300	213.600
20	86	3487.900	342.000
20	88	1054.500	150.600
20	93	2797.300	239.400
20	95	2619.200	291.000
20	112	956.800	94.800
20	117	1482.800	188.400
20	120	2578.100	312.000
20	131	3138.600	276.600
