=== NODES ===
Numeric_ID Amazon_Stop_ID Latitude Longitude Demand ServiceTime ReadyTime DueTime
0 PX 33.688122 -117.847178 0.000000 0.000 0.000 86400.000
8 BD 33.674183 -117.683374 0.220000 56.000 0.000 86400.000
19 CA 33.673908 -117.677274 2.360000 293.000 0.000 86400.000
26 CY 33.664063 -117.685566 4.160000 74.500 0.000 86400.000
27 DO 33.671132 -117.686120 11.340000 46.500 0.000 86400.000
32 FF 33.669225 -117.677605 0.860000 42.000 0.000 86400.000
36 GL 33.669387 -117.677772 2.680000 33.000 0.000 86400.000
43 HQ 33.672930 -117.685580 1.990000 25.000 0.000 86400.000
45 HV 33.671329 -117.678463 2.080000 13.500 0.000 86400.000
47 IF 33.663373 -117.669772 0.940000 43.000 0.000 86400.000
49 IL 33.672767 -117.677127 8.070000 10.200 0.000 86400.000
53 KP 33.666065 -117.691736 2.240000 35.000 0.000 86400.000
77 PF 33.671872 -117.687980 0.860000 36.000 0.000 86400.000
87 QS 33.668993 -117.676684 0.050000 34.000 0.000 86400.000
101 SX 33.669527 -117.677227 0.680000 20.000 0.000 86400.000
109 UF 33.669461 -117.675738 0.890000 39.000 0.000 86400.000
113 US 33.666352 -117.676850 0.120000 37.000 0.000 86400.000
120 VV 33.670856 -117.674301 16.980000 45.000 0.000 86400.000
127 XJ 33.671400 -117.676693 5.000000 11.300 0.000 86400.000
128 XZ 33.666066 -117.684143 3.970000 21.500 0.000 86400.000
132 YW 33.670452 -117.679544 3.680000 20.000 0.000 86400.000

=== MATRIX ===
FROM_ID	TO_ID	Distanza_m	Tempo_secondi
0	8	23781.800	1273.800
0	19	24312.900	1290.000
0	26	23472.500	1279.800
0	27	23715.200	1278.000
0	32	24127.700	1321.200
0	36	24094.800	1313.400
0	43	23573.300	1240.200
0	45	24133.000	1323.000
0	47	27072.100	1377.600
0	49	24400.600	1311.600
0	53	23228.300	1224.600
0	77	23807.600	1296.000
0	87	24259.500	1353.000
0	101	24148.300	1326.600
0	109	24222.900	1323.600
0	113	24474.600	1359.600
0	120	24750.400	1368.600
0	127	24610.500	1335.000
0	128	23755.900	1325.400
0	132	23990.700	1288.800
8	0	23781.800	1273.800
8	19	1692.500	231.600
8	26	2070.700	273.000
8	27	1094.700	219.600
8	32	1507.300	262.800
8	36	1474.400	255.000
8	43	523.400	109.200
8	45	1512.500	264.000
8	47	4984.800	444.600
8	49	1780.100	252.600
8	53	1826.500	217.200
8	77	757.600	165.600
8	87	1639.000	294.000
8	101	1527.800	267.600
8	109	1602.400	264.600
8	113	2004.900	334.800
8	120	2129.900	309.600
8	127	1990.100	276.000
8	128	2354.100	318.600
8	132	1370.200	229.800
19	0	24312.900	1290.000
19	8	1692.500	231.600
19	26	2306.600	287.400
19	27	1666.500	243.000
19	32	1149.800	204.000
19	36	1116.900	196.200
19	43	1475.300	187.200
19	45	1155.100	205.200
19	47	2146.200	325.800
19	49	247.400	59.400
19	53	2398.400	241.200
19	77	1709.500	243.000
19	87	1281.600	235.200
19	101	1170.400	208.800
19	109	827.900	136.800
19	113	1230.400	207.600
19	120	721.500	146.400
19	127	581.700	112.800
19	128	1925.200	278.400
19	132	1012.700	171.000
26	0	23472.500	1279.800
26	8	2070.700	273.000
26	19	2306.600	287.400
26	27	1377.300	263.400
26	32	2213.800	301.200
26	36	2180.900	293.400
26	43	1898.200	236.400
26	45	2219.100	302.400
26	47	1832.800	228.600
26	49	2725.500	307.200
26	53	945.400	120.600
26	77	2132.500	292.200
26	87	2345.600	332.400
26	101	2234.400	306.000
26	109	1573.300	175.800
26	113	1121.000	160.800
26	120	1900.000	254.400
26	127	2150.300	286.800
26	128	531.700	101.400
26	132	2076.800	268.200
27	0	23715.200	1278.000
27	8	1094.700	219.600
27	19	1666.500	243.000
27	26	1377.300	263.400
27	32	1080.200	203.400
27	36	1047.300	195.600
27	43	886.900	174.600
27	45	1085.400	204.600
27	47	2493.600	394.800
27	49	1714.100	246.000
27	53	1105.200	202.800
27	77	1121.100	231.000
27	87	1211.900	235.200
27	101	1100.700	208.200
27	109	1175.300	205.800
27	113	1577.800	276.000
27	120	1502.100	283.800
27	127	1924.100	270.000
27	128	1632.800	303.600
27	132	943.100	170.400
32	0	24127.700	1321.200
32	8	1507.300	262.800
32	19	1149.800	204.000
32	26	2213.800	301.200
32	27	1080.200	203.400
32	36	32.900	7.800
32	43	1299.400	217.800
32	45	556.000	133.200
32	47	1964.200	323.400
32	49	1242.900	225.600
32	53	2222.500	272.400
32	77	1533.700	274.200
