=== NODES ===
Numeric_ID Amazon_Stop_ID Latitude Longitude Demand ServiceTime ReadyTime DueTime
0 PX 33.688122 -117.847178 0.000000 0.000 0.000 86400.000
5 AT 33.659729 -117.674356 10.360000 52.600 0.000 86400.000
7 AW 33.671836 -117.682855 0.940000 35.000 0.000 86400.000
10 BJ 33.677687 -117.673745 3.390000 334.000 0.000 86400.000
17 BY 33.668311 -117.681176 6.180000 21.700 0.000 86400.000
31 EU 33.670616 -117.675528 4.870000 112.000 0.000 86400.000
42 HD 33.673922 -117.682690 0.860000 35.000 0.000 86400.000
45 HV 33.671329 -117.678463 2.080000 13.500 0.000 86400.000
62 MC 33.673885 -117.667554 5.920000 48.700 0.000 86400.000
68 MT 33.673711 -117.683541 1.990000 68.000 0.000 86400.000
69 MU 33.657563 -117.676846 0.520000 13.000 0.000 86400.000
71 NH 33.672604 -117.686019 2.870000 39.500 0.000 86400.000
78 PL 33.668745 -117.686613 27.670000 28.600 0.000 86400.000
86 QM 33.672295 -117.669751 0.940000 28.000 0.000 86400.000
87 QS 33.668993 -117.676684 0.050000 34.000 0.000 86400.000
102 TE 33.661397 -117.671989 16.270000 50.000 0.000 86400.000
103 TF 33.669241 -117.688311 5.280000 13.500 0.000 86400.000
114 UW 33.667075 -117.672342 1.990000 45.000 0.000 86400.000
119 VT 33.669661 -117.676763 1.990000 47.000 0.000 86400.000
122 WY 33.669982 -117.684831 1.990000 89.000 0.000 86400.000
126 XI 33.673297 -117.677696 1.630000 31.000 0.000 86400.000

=== MATRIX ===
FROM_ID	TO_ID	Distanza_m	Tempo_secondi
0	5	27448.900	1428.600
0	7	23529.900	1233.600
0	10	24424.200	1277.400
0	17	23881.500	1277.400
0	31	24676.400	1350.600
0	42	23754.200	1267.200
0	45	24133.000	1323.000
0	62	25361.300	1413.600
0	68	23740.900	1264.200
0	69	27819.500	1472.400
0	71	23645.500	1257.000
0	78	23148.300	1267.800
0	86	25125.900	1372.800
0	87	24259.500	1353.000
0	102	24738.400	1401.000
0	103	22940.100	1217.400
0	114	24691.800	1384.800
0	119	24193.400	1337.400
0	122	23594.300	1249.200
0	126	24391.400	1309.200
5	0	27448.900	1428.600
5	7	2453.400	367.200
5	10	3262.800	455.400
5	17	2210.200	341.400
5	31	1631.600	254.400
5	42	3038.800	453.600
5	45	2114.500	342.000
5	62	2586.200	385.200
5	68	3025.500	450.600
5	69	591.500	96.600
5	71	2930.200	443.400
5	78	3022.700	406.800
5	86	2350.800	344.400
5	87	2241.000	372.000
5	102	395.900	62.400
5	103	2814.500	357.000
5	114	1314.900	199.800
5	119	2174.900	356.400
5	122	2517.800	382.800
5	126	2260.900	351.000
7	0	23529.900	1233.600
7	5	2453.400	367.200
7	10	1684.500	184.200
7	17	648.600	114.600
7	31	1153.000	200.400
7	42	882.500	157.800
7	45	900.200	160.200
7	62	2489.600	304.200
7	68	869.200	154.200
7	69	2768.500	396.000
7	71	773.800	147.600
7	78	650.300	156.000
7	86	2254.200	263.400
7	87	1026.700	190.800
7	102	1989.800	298.200
7	103	699.700	168.000
7	114	1609.800	256.800
7	119	960.600	174.600
7	122	361.500	87.000
7	126	1519.700	199.800
10	0	24424.200	1277.400
