=== NODES ===
Numeric_ID Amazon_Stop_ID Latitude Longitude Demand ServiceTime ReadyTime DueTime
0 PX 33.688122 -117.847178 0.0 0.0 0.0 86400.0
1 AM 33.677001 -117.673163 8.38 169.0 0.0 86400.0
2 AN 33.669654 -117.687253 0.65 49.0 0.0 86400.0
3 AO 33.672882 -117.677967 7.26 31.0 0.0 86400.0
4 AS 33.669157 -117.687493 1.31 23.0 0.0 86400.0
5 AT 33.659729 -117.674356 10.36 52.6 0.0 86400.0
6 AU 33.673469 -117.684236 1.94 24.5 0.0 86400.0
7 AW 33.671836 -117.682855 0.94 35.0 0.0 86400.0
8 BD 33.674183 -117.683374 0.22 56.0 0.0 86400.0
9 BF 33.673639 -117.676396 9.46 39.3 0.0 86400.0
10 BJ 33.677687 -117.673745 3.39 334.0 0.0 86400.0
11 BK 33.669014 -117.690613 1.6 43.3 0.0 86400.0
12 BL 33.662662 -117.669214 2.51 32.5 57600.0 82800.0
13 BM 33.664119 -117.67314 7.15 331.0 57600.0 82800.0
14 BN 33.672124 -117.681692 0.52 16.0 0.0 86400.0
15 BT 33.661519 -117.6707 0.44 38.0 57600.0 82800.0
16 BW 33.671245 -117.675336 2.36 29.0 0.0 86400.0
17 BY 33.668311 -117.681176 6.18 21.7 0.0 86400.0
18 BZ 33.659252 -117.675343 2.38 36.5 0.0 86400.0
19 CA 33.673908 -117.677274 2.36 293.0 0.0 86400.0
20 CG 33.664173 -117.691951 1.72 19.5 57600.0 82800.0
21 CH 33.67271 -117.687 0.89 31.0 0.0 86400.0
22 CI 33.671871 -117.676429 10.51 30.7 0.0 86400.0
23 CK 33.673087 -117.68566 1.99 27.0 0.0 86400.0
24 CP 33.663977 -117.691482 1.43 61.0 57600.0 82800.0
25 CR 33.674763 -117.670235 1.99 123.0 0.0 86400.0
26 CY 33.664063 -117.685566 4.16 74.5 57600.0 82800.0
27 DO 33.671132 -117.68612 11.34 46.5 0.0 86400.0
28 EF 33.661236 -117.672989 1.57 87.0 57600.0 82800.0
29 EH 33.661775 -117.66987 1.43 38.0 57600.0 82800.0
30 EM 33.670468 -117.687264 1.99 16.0 0.0 86400.0
31 EU 33.670616 -117.675528 4.87 112.0 0.0 86400.0
32 FF 33.669225 -117.677605 0.86 42.0 0.0 86400.0
33 FI 33.669972 -117.674282 7.15 69.0 0.0 86400.0
34 FS 33.672044 -117.686617 4.28 18.5 0.0 86400.0
35 FY 33.672665 -117.681899 14.49 37.0 0.0 86400.0
36 GL 33.669387 -117.677772 2.68 33.0 0.0 86400.0
37 GM 33.672778 -117.685665 3.63 45.0 0.0 86400.0
38 GQ 33.668863 -117.677141 3.38 15.5 0.0 86400.0
39 GS 33.671744 -117.674393 0.6 46.0 0.0 86400.0
40 GV 33.666149 -117.677703 0.52 37.0 57600.0 72000.0
41 GW 33.663836 -117.68266 8.13 82.0 57600.0 82800.0
42 HD 33.673922 -117.68269 0.86 35.0 0.0 86400.0
43 HQ 33.67293 -117.68558 1.99 25.0 0.0 86400.0
44 HU 33.673675 -117.682272 3.37 22.5 0.0 86400.0
45 HV 33.671329 -117.678463 2.08 13.5 0.0 86400.0
46 IE 33.66925 -117.674682 0.43 99.0 0.0 86400.0
47 IF 33.663373 -117.669772 0.94 43.0 57600.0 82800.0
48 IH 33.672788 -117.676978 0.79 109.0 0.0 86400.0
49 IL 33.672767 -117.677127 8.07 10.2 0.0 86400.0
50 IT 33.672912 -117.681411 22.58 21.0 0.0 86400.0
51 JC 33.670296 -117.68535 4.63 135.0 0.0 86400.0
52 JY 33.664415 -117.691275 7.8 92.0 57600.0 72000.0
53 KP 33.666065 -117.691736 2.24 35.0 57600.0 72000.0
54 KZ 33.659083 -117.674848 2.01 92.0 0.0 86400.0
55 LA 33.66189 -117.672792 7.97 34.5 57600.0 82800.0
56 LH 33.671679 -117.671007 0.27 332.0 0.0 86400.0
57 LN 33.657018 -117.677486 0.94 26.0 0.0 86400.0
58 LP 33.672658 -117.682564 0.86 15.0 0.0 86400.0
59 LW 33.669838 -117.686275 5.34 31.5 0.0 86400.0
60 LY 33.664464 -117.676249 3.1 131.5 57600.0 82800.0
61 MA 33.672984 -117.681328 6.01 20.0 0.0 86400.0
62 MC 33.673885 -117.667554 5.92 48.7 57600.0 82800.0
63 MD 33.67278 -117.681002 5.28 37.2 0.0 86400.0
64 ME 33.66632 -117.681636 3.63 55.0 57600.0 82800.0
65 ML 33.670314 -117.675969 4.89 30.3 0.0 86400.0
66 MO 33.668337 -117.67977 0.35 23.0 0.0 86400.0
67 MP 33.675697 -117.672574 4.82 48.0 57600.0 82800.0
68 MT 33.673711 -117.683541 1.99 68.0 0.0 86400.0
69 MU 33.657563 -117.676846 0.52 13.0 0.0 86400.0
70 MV 33.669854 -117.684091 10.6 30.0 0.0 86400.0
71 NH 33.672604 -117.686019 2.87 39.5 0.0 86400.0
72 NX 33.670766 -117.679227 0.86 419.0 57600.0 86400.0
73 OJ 33.668238 -117.675041 3.88 38.7 0.0 86400.0
74 OP 33.674561 -117.68274 2.68 51.0 0.0 86400.0
75 PA 33.656927 -117.677236 0.86 28.0 0.0 86400.0
76 PC 33.665379 -117.684122 3.67 95.7 57600.0 72000.0
77 PF 33.671872 -117.68798 0.86 36.0 0.0 86400.0
78 PL 33.668745 -117.686613 27.67 28.6 0.0 86400.0
79 PR 33.66818 -117.677113 7.89 23.6 0.0 86400.0
80 PS 33.668964 -117.67958 2.49 141.5 0.0 86400.0
81 QA 33.671973 -117.6829 3.63 19.0 0.0 86400.0
82 QG 33.675798 -117.671814 0.57 79.0 57600.0 82800.0
83 QI 33.66883 -117.681306 0.52 11.0 0.0 86400.0
84 QJ 33.674749 -117.683442 0.89 78.0 0.0 86400.0
85 QK 33.667101 -117.686384 3.82 91.0 57600.0 72000.0
86 QM 33.672295 -117.669751 0.94 28.0 0.0 86400.0
87 QS 33.668993 -117.676684 0.05 34.0 0.0 86400.0
88 QT 33.66962 -117.68877 2.5 16.5 0.0 86400.0
89 RG 33.672295 -117.674528 1.3 14.3 0.0 86400.0
90 RH 33.673479 -117.685965 0.86 53.0 0.0 86400.0
91 RK 33.668514 -117.689819 6.43 109.0 0.0 86400.0
92 RW 33.674054 -117.668034 1.43 77.0 57600.0 82800.0
93 SA 33.677588 -117.674459 0.86 80.0 0.0 86400.0
94 SB 33.668751 -117.67828 4.76 81.0 0.0 86400.0
95 SE 33.660437 -117.672706 2.36 87.0 57600.0 72000.0
96 SF 33.673095 -117.68129 0.32 31.0 0.0 86400.0
97 SJ 33.67066 -117.685029 4.74 45.3 0.0 86400.0
98 SR 33.669797 -117.673624 1.57 163.0 57600.0 82800.0
99 ST 33.670752 -117.675832 0.45 56.0 0.0 86400.0
100 SV 33.669192 -117.681067 2.21 31.0 0.0 86400.0
101 SX 33.669527 -117.677227 0.68 20.0 0.0 86400.0
102 TE 33.661397 -117.671989 16.27 50.0 57600.0 75600.0
103 TF 33.669241 -117.688311 5.28 13.5 57600.0 86400.0
104 TK 33.66831 -117.680471 5.77 36.7 0.0 86400.0
105 TO 33.659525 -117.674968 2.68 140.0 0.0 86400.0
106 TU 33.66953 -117.672804 1.57 45.0 57600.0 82800.0
107 TV 33.671894 -117.673486 0.52 62.0 0.0 86400.0
108 UB 33.663929 -117.690061 0.05 74.0 57600.0 82800.0
109 UF 33.669461 -117.675738 0.89 39.0 0.0 86400.0
110 UH 33.668728 -117.680442 0.79 22.0 0.0 86400.0
111 UJ 33.670591 -117.67762 1.93 7.0 0.0 86400.0
112 UK 33.667755 -117.68524 0.52 136.0 57600.0 82800.0
113 US 33.666352 -117.67685 0.12 37.0 57600.0 82800.0
114 UW 33.667075 -117.672342 1.99 45.0 57600.0 82800.0
115 UZ 33.671659 -117.675167 4.82 44.0 0.0 86400.0
116 VB 33.671698 -117.679786 9.07 61.0 0.0 86400.0
117 VF 33.665705 -117.684551 8.99 135.0 57600.0 82800.0
118 VJ 33.663306 -117.673509 1.37 37.0 57600.0 82800.0
119 VT 33.669661 -117.676763 1.99 47.0 0.0 86400.0
120 VV 33.670856 -117.674301 16.98 45.0 0.0 86400.0
121 WK 33.676415 -117.674069 0.82 94.0 0.0 86400.0
122 WY 33.669982 -117.684831 1.99 89.0 0.0 86400.0
123 WZ 33.658985 -117.672844 1.07 476.5 0.0 86400.0
124 XD 33.674852 -117.6829 8.72 30.5 0.0 86400.0
125 XH 33.664403 -117.691239 16.54 33.3 57600.0 82800.0
126 XI 33.673297 -117.677696 1.63 31.0 0.0 86400.0
127 XJ 33.6714 -117.676693 5.0 11.3 0.0 86400.0
128 XZ 33.666066 -117.684143 3.97 21.5 57600.0 72000.0
129 YD 33.671676 -117.680917 0.42 28.0 0.0 86400.0
130 YG 33.668487 -117.690842 0.18 732.0 0.0 86400.0
131 YM 33.675091 -117.67166 6.96 22.8 54000.0 86400.0
132 YW 33.670452 -117.679544 3.68 20.0 0.0 86400.0

=== MATRIX ===
ID1	ID2	Distanza_km	Tempo_minuti
0	1	24.4935	21.65
0	2	23.0106	20.57
0	3	24.4439	22.03
0	4	23.0148	20.59
0	5	27.4489	23.81
0	6	23.6797	20.82
0	7	23.5299	20.56
0	8	23.7818	21.23
0	9	24.2816	21.38
0	10	24.4242	21.29
0	11	22.9319	20.26
0	12	26.9290	22.64
0	13	24.5832	23.42
0	14	23.6965	21.23
0	15	27.0023	22.66
0	16	24.6038	22.22
0	17	23.8815	21.29
0	18	27.5403	24.18
0	19	24.3129	21.50
0	20	23.5375	20.97
0	21	23.6823	21.10
0	22	24.5526	22.02
0	23	23.5525	20.58
0	24	23.5772	21.01
0	25	24.9496	22.22
0	26	23.4725	21.33
0	27	23.7152	21.30
0	28	24.7729	23.56
0	29	26.9202	22.57
0	30	23.1817	21.26
0	31	24.6764	22.51
0	32	24.1277	22.02
0	33	24.4607	22.89
0	34	23.7016	21.18
0	35	23.6650	21.10
0	36	24.0948	21.89
0	37	23.6031	20.79
0	38	24.2148	22.37
0	39	24.6259	22.31
0	40	24.2120	22.67
0	41	23.6283	21.60
0	42	23.7542	21.12
0	43	23.5733	20.67
0	44	23.4271	19.71
0	45	24.1330	22.05
0	46	24.3659	22.63
0	47	27.0721	22.96
0	48	24.3920	21.82
0	49	24.4006	21.86
0	50	23.7168	21.31
0	51	23.6448	21.02
0	52	23.5229	20.80
0	53	23.2283	20.41
0	54	27.6562	24.10
0	55	24.7228	23.36
0	56	25.1763	22.72
0	57	27.9600	25.10
0	58	23.6571	21.07
0	59	23.1053	20.95
0	60	24.1518	22.18
0	61	23.7279	21.35
0	62	25.3613	23.56
0	63	23.7694	21.52
0	64	23.8832	21.95
0	65	24.3983	22.76
0	66	23.8938	21.41
0	67	24.6686	21.46
0	68	23.7409	21.07
0	69	27.8195	24.54
0	70	23.5723	20.73
0	71	23.6455	20.95
0	72	24.0376	21.66
0	73	24.4134	22.82
0	74	23.7330	21.04
0	75	27.9853	25.20
0	76	23.6701	21.75
0	77	23.8076	21.60
0	78	23.1483	21.13
0	79	24.1720	22.20
0	80	23.9017	21.44
0	81	23.5448	20.62
0	82	24.7672	21.75
0	83	23.8015	21.04
0	84	23.6928	20.88
0	85	23.1673	20.72
0	86	25.1259	22.88
0	87	24.2595	22.55
0	88	23.0133	20.59
0	89	24.5011	21.81
0	90	23.5089	20.41
0	91	23.1840	21.27
0	92	25.2734	23.39
0	93	24.3032	20.89
0	94	24.0085	21.55
0	95	27.2669	23.31
0	96	23.7393	21.40
0	97	23.5766	20.75
0	98	25.4481	23.08
0	99	24.6986	22.60
0	100	23.8837	21.32
0	101	24.1483	22.11
0	102	24.7384	23.35
0	103	22.9401	20.29
0	104	23.8823	21.33
0	105	27.5144	24.07
0	106	25.4123	22.93
0	107	24.6156	22.27
0	108	23.6478	20.97
0	109	24.2229	22.06
0	110	23.8004	21.03
0	111	24.0487	21.71
0	112	23.2027	20.42
0	113	24.4746	22.66
0	114	24.6918	23.08
0	115	24.5560	22.03
0	116	23.8443	21.46
0	117	23.7286	21.98
0	118	24.7248	23.94
0	119	24.1934	22.29
0	120	24.7504	22.81
0	121	24.4910	21.64
0	122	23.5943	20.82
0	123	27.3717	23.41
0	124	23.7043	20.92
0	125	23.5265	20.80
0	126	24.3914	21.82
0	127	24.6105	22.25
0	128	23.7559	22.09
0	129	23.6681	21.12
0	130	23.0036	20.55
0	131	24.7766	21.78
0	132	23.9907	21.48
1	2	2.5133	4.42
1	3	1.6314	4.10
1	4	2.5175	4.43
1	5	2.9424	6.52
1	6	1.9144	3.51
1	7	1.8140	3.54
1	8	2.0164	3.91
1	9	1.4691	3.45
1	10	0.3982	1.51
1	11	2.4347	4.10
1	12	3.6083	5.89
1	13	2.4400	5.51
1	14	1.9806	4.21
1	15	3.6815	5.92
1	16	1.7913	4.29
1	17	2.1655	4.26
1	18	3.0338	6.89
1	19	1.5004	3.58
1	20	3.0402	4.81
1	21	1.9170	3.78
1	22	1.7401	4.09
1	23	1.7871	3.26
1	24	3.0799	4.85
1	25	0.7950	2.51
1	26	2.9753	5.17
1	27	1.9992	4.28
1	28	2.5687	5.83
1	29	3.5995	5.82
1	30	2.1577	4.92
1	31	1.8639	4.59
1	32	2.4118	5.00
1	33	2.0202	5.09
1	34	1.9362	3.86
1	35	1.9491	4.08
1	36	2.3789	4.87
1	37	1.8378	3.47
1	38	2.4988	5.35
1	39	1.8134	4.38
1	40	2.0419	4.80
1	41	3.1310	5.44
1	42	1.9888	3.80
1	43	1.8079	3.35
1	44	1.7112	2.69
1	45	2.4171	5.02
1	46	2.0487	4.88
1	47	3.7514	6.21
1	48	1.5795	3.90
1	49	1.5881	3.93
1	50	2.0009	4.29
1	51	1.9288	4.00
1	52	3.0257	4.64
1	53	2.7311	4.25
1	54	3.1497	6.81
1	55	2.5186	5.63
1	56	1.0216	3.01
1	57	3.4535	7.81
1	58	1.9411	4.05
1	59	2.0127	4.33
