 


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME


    0      18.00       7.00       0.00       0.00     814.00       0.00
    1      31.00      22.00       0.00     290.00     322.00       0.00
    2      21.00       8.00       0.00       0.00      11.00       0.00
    3      27.00       7.00       0.00     288.00     298.00       0.00
    4      27.00      49.00       0.00     384.00     419.00       0.00
    5      28.00      28.00       0.00     125.00     145.00       0.00
    6      32.00      29.00       0.00     332.00     362.00       0.00
    7      41.00      24.00       0.00     149.00     173.00       0.00
    8      32.00      28.00       0.00     116.00     146.00       0.00
    9      40.00      15.00       0.00     188.00     211.00       0.00
   10      47.00      14.00       0.00     188.00     205.00       0.00
   11      31.00      46.00       0.00     396.00     410.00       0.00
   12      44.00       5.00       0.00     222.00     241.00       0.00
   13      34.00      39.00       0.00     363.00     384.00       0.00
   14      35.00      24.00       0.00     147.00     157.00       0.00
   15       8.00      43.00       0.00     428.00     443.00       0.00
   16      25.00      27.00       0.00     111.00     132.00       0.00
   17      20.00       5.00       0.00       0.00      14.00       0.00
   18       7.00      49.00       0.00     446.00     465.00       0.00
   19       3.00      30.00       0.00     475.00     486.00       0.00
   20       9.00       5.00       0.00       5.00      30.00       0.00
   21      34.00       0.00       0.00     239.00     268.00       0.00
   22       0.00      14.00       0.00      74.00      93.00       0.00
   23      37.00      46.00       0.00     381.00     390.00       0.00
   24       2.00       6.00       0.00      63.00     101.00       0.00
   25      45.00      14.00       0.00     186.00     219.00       0.00
   26      30.00      35.00       0.00     335.00     355.00       0.00
   27      13.00      29.00       0.00     109.00     114.00       0.00
   28      39.00      26.00       0.00     138.00     171.00       0.00
   29      30.00       9.00       0.00     174.00     189.00       0.00
   30      14.00      18.00       0.00      45.00      68.00       0.00
   31      20.00      24.00       0.00     321.00     338.00       0.00
   32      21.00       8.00       0.00     249.00     284.00       0.00
   33      15.00      36.00       0.00     489.00     512.00       0.00
   34      13.00       2.00       0.00      28.00      43.00       0.00
   35      13.00       1.00       0.00     258.00     283.00       0.00
   36      11.00       7.00       0.00       7.00      33.00       0.00
   37      37.00      36.00       0.00     365.00     376.00       0.00
   38      41.00      41.00       0.00     613.00     625.00       0.00
   39      11.00       1.00       0.00      21.00      40.00       0.00
   40       9.00       2.00       0.00      18.00      44.00       0.00
   41      25.00      42.00       0.00     588.00     616.00       0.00
   42      44.00      37.00       0.00     636.00     645.00       0.00
   43       6.00      37.00       0.00     443.00     446.00       0.00
   44      35.00      39.00       0.00     342.00     374.00       0.00
   45      49.00      20.00       0.00     205.00     231.00       0.00
   46      46.00      12.00       0.00     773.00     786.00       0.00
   47       1.00      33.00       0.00     518.00     533.00       0.00
   48      37.00      35.00       0.00     339.00     362.00       0.00
   49      36.00      12.00       0.00     150.00     174.00       0.00
   50      17.00      24.00       0.00     103.00     124.00       0.00
   51      11.00       5.00       0.00      27.00      48.00       0.00
   52      18.00      10.00       0.00       0.00      29.00       0.00
   53       9.00      10.00       0.00      24.00      46.00       0.00
   54       8.00      30.00       0.00     476.00     498.00       0.00
   55      34.00      46.00       0.00     388.00     394.00       0.00
   56      31.00      23.00       0.00     131.00     150.00       0.00
