!! n20w20.005    18.60 369

CUST_NO.   XCOORD.   YCOORD.    DEMAND   READY_TIME   DUE_DATE   SERVIC_TIME


    0      22.00      39.00       0.00       0.00     375.00       0.00
    1       7.00      16.00       0.00     276.00     297.00       0.00
    2      28.00      18.00       0.00     125.00     156.00       0.00
    3       2.00      21.00       0.00     107.00     127.00       0.00
    4      35.00      23.00       0.00     141.00     169.00       0.00
    5      31.00      18.00       0.00     143.00     165.00       0.00
    6      47.00      39.00       0.00     219.00     231.00       0.00
    7       7.00      46.00       0.00      19.00      40.00       0.00
    8       8.00      15.00       0.00      88.00     109.00       0.00
    9      42.00      33.00       0.00     173.00     185.00       0.00
   10      32.00      21.00       0.00     133.00     155.00       0.00
   11      16.00      34.00       0.00       2.00      21.00       0.00
   12      47.00       0.00       0.00     306.00     329.00       0.00
   13      18.00      28.00       0.00      84.00      99.00       0.00
   14      36.00      18.00       0.00     198.00     219.00       0.00
   15      46.00      20.00       0.00     170.00     184.00       0.00
   16       0.00      37.00       0.00      57.00      67.00       0.00
   17      15.00      10.00       0.00     126.00     142.00       0.00
   18       3.00      26.00       0.00      43.00      55.00       0.00
   19      21.00      28.00       0.00       3.00      20.00       0.00
   20       4.00      26.00       0.00     268.00     283.00       0.00
   21       0.00       0.00       0.00       0.00     375.00       0.00
