!! n60w100.003    99.93 650

CUST_NO.   XCOORD.   YCOORD.    DEMAND   READY_TIME   DUE_DATE   SERVICE_TIME

    0      24.00      37.00       0.00       0.00     651.00       0.00
    1      11.00      42.00       0.00       0.00      33.00       0.00
    2      22.00      21.00       0.00     331.00     409.00       0.00
    3      13.00      38.00       0.00       0.00      59.00       0.00
    4      12.00       1.00       0.00     305.00     414.00       0.00
    5      29.00      11.00       0.00      98.00     203.00       0.00
    6      13.00      37.00       0.00      38.00     100.00       0.00
    7      34.00      37.00       0.00     185.00     358.00       0.00
    8      18.00       4.00       0.00      58.00     120.00       0.00
    9      21.00      33.00       0.00       0.00      68.00       0.00
   10      48.00      41.00       0.00     405.00     534.00       0.00
   11      27.00       6.00       0.00      97.00     188.00       0.00
   12      17.00      46.00       0.00     250.00     379.00       0.00
   13      23.00      46.00       0.00     247.00     418.00       0.00
   14      12.00       3.00       0.00      74.00     192.00       0.00
   15      40.00      39.00       0.00     213.00     307.00       0.00
   16      19.00       2.00       0.00      33.00      94.00       0.00
   17      26.00       3.00       0.00      41.00     199.00       0.00
   18      14.00      11.00       0.00     298.00     455.00       0.00
   19      20.00      24.00       0.00      77.00     194.00       0.00
   20       4.00      46.00       0.00     222.00     371.00       0.00
   21      17.00      10.00       0.00       5.00     101.00       0.00
   22      19.00       2.00       0.00      54.00     115.00       0.00
   23      29.00      15.00       0.00     391.00     492.00       0.00
   24       5.00      44.00       0.00      14.00      47.00       0.00
   25      10.00      30.00       0.00     448.00     540.00       0.00
   26      20.00      17.00       0.00     150.00     224.00       0.00
   27      43.00      20.00       0.00     389.00     541.00       0.00
   28      24.00      21.00       0.00     115.00     170.00       0.00
   29      22.00      10.00       0.00     121.00     156.00       0.00
   30      12.00      24.00       0.00       0.00      79.00       0.00
   31       4.00      11.00       0.00     313.00     443.00       0.00
   32       0.00      41.00       0.00       0.00      93.00       0.00
   33      44.00      21.00       0.00     151.00     252.00       0.00
   34      46.00      12.00       0.00     520.00     594.00       0.00
   35       9.00       1.00       0.00      63.00     130.00       0.00
   36      18.00       7.00       0.00      56.00     177.00       0.00
   37       5.00      19.00       0.00     553.00     625.00       0.00
   38      43.00      43.00       0.00     153.00     256.00       0.00
   39      50.00      40.00       0.00     164.00     264.00       0.00
   40      10.00      30.00       0.00       0.00      93.00       0.00
   41      30.00      27.00       0.00     126.00     219.00       0.00
   42      40.00      40.00       0.00     127.00     284.00       0.00
   43      36.00      27.00       0.00     112.00     248.00       0.00
   44       7.00      19.00       0.00       0.00     124.00       0.00
   45      39.00      35.00       0.00     186.00     231.00       0.00
   46      33.00      27.00       0.00     196.00     252.00       0.00
   47      26.00      47.00       0.00     273.00     313.00       0.00
   48      21.00      36.00       0.00     184.00     302.00       0.00
   49      46.00      15.00       0.00     412.00     454.00       0.00
   50      15.00       2.00       0.00       8.00     163.00       0.00
   51      39.00      23.00       0.00     146.00     197.00       0.00
   52      39.00      21.00       0.00     123.00     242.00       0.00
   53      44.00       9.00       0.00     354.00     521.00       0.00
   54      11.00      14.00       0.00       0.00     154.00       0.00
   55      16.00      34.00       0.00       0.00      79.00       0.00
   56      42.00      41.00       0.00     194.00     315.00       0.00
   57      39.00      34.00       0.00     207.00     318.00       0.00
   58      45.00      24.00       0.00     100.00     256.00       0.00
   59      25.00       6.00       0.00      34.00     187.00       0.00
   60      32.00      47.00       0.00     537.00     601.00       0.00
   61       0.00       0.00       0.00       0.00     651.00       0.00

