 


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME


    0      36.00       5.00       0.00       0.00     842.00       0.00
    1       6.00      44.00       0.00     321.00     349.00       0.00
    2      42.00      31.00       0.00     185.00     196.00       0.00
    3      36.00      49.00       0.00     526.00     549.00       0.00
    4       3.00      29.00       0.00     311.00     322.00       0.00
    5      36.00      33.00       0.00     165.00     183.00       0.00
    6      11.00      41.00       0.00     294.00     315.00       0.00
    7      19.00       6.00       0.00      17.00      34.00       0.00
    8      44.00      49.00       0.00     499.00     527.00       0.00
    9      23.00      44.00       0.00     226.00     253.00       0.00
   10      37.00      21.00       0.00     151.00     171.00       0.00
   11      33.00      45.00       0.00     209.00     242.00       0.00
   12      17.00       3.00       0.00     621.00     637.00       0.00
   13      42.00       0.00       0.00     447.00     466.00       0.00
   14      30.00      47.00       0.00     210.00     235.00       0.00
   15      29.00       2.00       0.00       0.00       8.00       0.00
   16      16.00      20.00       0.00      70.00      93.00       0.00
   17      27.00      44.00       0.00     214.00     238.00       0.00
   18       6.00       2.00       0.00      39.00      42.00       0.00
   19      26.00      29.00       0.00     110.00     143.00       0.00
   20       6.00      12.00       0.00      43.00      60.00       0.00
   21      24.00      33.00       0.00     101.00     131.00       0.00
   22      43.00      15.00       0.00     420.00     440.00       0.00
   23      19.00      11.00       0.00      12.00      28.00       0.00
   24      20.00       8.00       0.00       5.00      35.00       0.00
   25      17.00      25.00       0.00     103.00     112.00       0.00
   26      26.00      37.00       0.00     234.00     251.00       0.00
   27      22.00      30.00       0.00      97.00     119.00       0.00
   28      36.00      32.00       0.00     168.00     190.00       0.00
   29      23.00      15.00       0.00     375.00     392.00       0.00
   30      50.00      23.00       0.00     461.00     488.00       0.00
   31      13.00      16.00       0.00      82.00     102.00       0.00
   32      11.00      24.00       0.00      78.00     109.00       0.00
   33       8.00       8.00       0.00      31.00      62.00       0.00
   34      41.00      43.00       0.00     503.00     513.00       0.00
   35      15.00      44.00       0.00     240.00     269.00       0.00
   36      44.00       6.00       0.00     401.00     430.00       0.00
   37      11.00      41.00       0.00     244.00     281.00       0.00
   38       5.00       1.00       0.00     634.00     640.00       0.00
   39      29.00      33.00       0.00     160.00     195.00       0.00
   40       0.00      42.00       0.00     326.00     342.00       0.00
   41       4.00      47.00       0.00     770.00     790.00       0.00
   42      32.00      37.00       0.00     165.00     192.00       0.00
   43       1.00      23.00       0.00     659.00     666.00       0.00
   44       8.00      37.00       0.00     315.00     326.00       0.00
   45       4.00      13.00       0.00      75.00      94.00       0.00
   46      33.00      26.00       0.00     539.00     572.00       0.00
   47      47.00      10.00       0.00     454.00     469.00       0.00
   48      25.00      40.00       0.00     234.00     251.00       0.00
   49      15.00      28.00       0.00      94.00     104.00       0.00
   50      34.00      27.00       0.00     145.00     177.00       0.00
   51       0.00      19.00       0.00      54.00      77.00       0.00
   52      17.00      30.00       0.00     358.00     395.00       0.00
   53      34.00      32.00       0.00     147.00     177.00       0.00
   54      47.00      13.00       0.00     418.00     429.00       0.00
   55      30.00      19.00       0.00     141.00     157.00       0.00
   56      15.00       1.00       0.00      28.00      43.00       0.00
