!! n20w20.003    21.55 412

CUST_NO.   XCOORD.   YCOORD.    DEMAND   READY_TIME   DUE_DATE   SERVIC_TIME


    0      44.00      48.00       0.00       0.00     417.00       0.00
    1      23.00      49.00       0.00      23.00      40.00       0.00
    2      23.00      26.00       0.00     171.00     177.00       0.00
    3      25.00      39.00       0.00      85.00     115.00       0.00
    4      17.00      26.00       0.00      68.00      76.00       0.00
    5      47.00      47.00       0.00       0.00      20.00       0.00
    6      44.00      50.00       0.00     308.00     337.00       0.00
    7      30.00      19.00       0.00     109.00     119.00       0.00
    8       9.00      38.00       0.00      46.00      68.00       0.00
    9      11.00      33.00       0.00      76.00     102.00       0.00
   10       4.00      48.00       0.00     193.00     222.00       0.00
   11      36.00       3.00       0.00     143.00     160.00       0.00
   12      36.00       6.00       0.00     351.00     374.00       0.00
   13      35.00      46.00       0.00      23.00      38.00       0.00
   14      35.00      15.00       0.00     118.00     149.00       0.00
   15      36.00      17.00       0.00     110.00     141.00       0.00
   16       9.00      28.00       0.00      46.00      85.00       0.00
   17      34.00       9.00       0.00     127.00     142.00       0.00
   18       1.00       0.00       0.00     242.00     268.00       0.00
   19      49.00      40.00       0.00       2.00      26.00       0.00
   20      24.00      44.00       0.00     292.00     305.00       0.00
   21       0.00       0.00       0.00       0.00     417.00       0.00
