!! n20w20.004    20.20 404


CUST_NO.   XCOORD.   YCOORD.    DEMAND   READY_TIME   DUE_DATE   SERVIC_TIME


    0      35.00      21.00       0.00       0.00     408.00       0.00
    1       4.00      16.00       0.00     369.00     377.00       0.00
    2      21.00      29.00       0.00      10.00      41.00       0.00
    3      35.00      26.00       0.00       4.00      23.00       0.00
    4      44.00       4.00       0.00     166.00     183.00       0.00
    5       4.00      12.00       0.00     115.00     126.00       0.00
    6      14.00       1.00       0.00     117.00     142.00       0.00
    7      22.00      31.00       0.00      43.00      68.00       0.00
    8       3.00      24.00       0.00      91.00     115.00       0.00
    9      19.00      45.00       0.00      67.00      92.00       0.00
   10      24.00      11.00       0.00     134.00     151.00       0.00
   11      39.00      17.00       0.00       0.00      19.00       0.00
   12      39.00      25.00       0.00     179.00     203.00       0.00
   13      25.00       2.00       0.00     264.00     275.00       0.00
   14      32.00       7.00       0.00     150.00     176.00       0.00
   15      30.00      43.00       0.00      55.00      84.00       0.00
   16      46.00      43.00       0.00     212.00     240.00       0.00
   17      45.00      49.00       0.00     318.00     324.00       0.00
   18      36.00      48.00       0.00     200.00     233.00       0.00
   19      18.00      17.00       0.00      26.00      48.00       0.00
   20      40.00      29.00       0.00     298.00     302.00       0.00
   21       0.00       0.00       0.00       0.00     408.00       0.00
