!! n40w100.002   101.40 463


CUST_NO.   XCOORD.   YCOORD.    DEMAND   READY_TIME   DUE_DATE   SERVICE_TIME

    0      28.00      35.00       0.00       0.00     499.00       0.00
    1      17.00       3.00       0.00     101.00     223.00       0.00
    2      25.00       4.00       0.00     158.00     215.00       0.00
    3      21.00       6.00       0.00      94.00     153.00       0.00
    4      24.00      43.00       0.00       0.00      77.00       0.00
    5      49.00      48.00       0.00     278.00     334.00       0.00
    6      46.00      17.00       0.00     239.00     350.00       0.00
    7      31.00      16.00       0.00     121.00     251.00       0.00
    8      20.00      40.00       0.00       0.00      75.00       0.00
    9       5.00      12.00       0.00     161.00     307.00       0.00
   10      17.00      15.00       0.00      80.00     153.00       0.00
   11       3.00      22.00       0.00      28.00     106.00       0.00
   12       1.00       8.00       0.00      86.00     134.00       0.00
   13       1.00      38.00       0.00     394.00     461.00       0.00
   14      33.00      17.00       0.00     191.00     360.00       0.00
   15       3.00      13.00       0.00      74.00     159.00       0.00
   16      28.00      19.00       0.00      74.00     252.00       0.00
   17      44.00      37.00       0.00     280.00     434.00       0.00
   18      48.00      10.00       0.00     181.00     366.00       0.00
   19      33.00      18.00       0.00      89.00     236.00       0.00
   20      35.00      25.00       0.00     396.00     487.00       0.00
   21      31.00      11.00       0.00     140.00     332.00       0.00
   22      11.00      38.00       0.00       0.00     102.00       0.00
   23      29.00       9.00       0.00     149.00     177.00       0.00
   24       1.00      48.00       0.00      25.00     111.00       0.00
   25      12.00      22.00       0.00       0.00     128.00       0.00
   26      16.00      37.00       0.00      16.00      22.00       0.00
   27      42.00      32.00       0.00     254.00     390.00       0.00
   28      33.00      11.00       0.00      95.00     241.00       0.00
   29      28.00       2.00       0.00     230.00     253.00       0.00
   30      25.00      13.00       0.00     138.00     208.00       0.00
   31      32.00      45.00       0.00     303.00     436.00       0.00
   32      23.00      11.00       0.00      68.00     219.00       0.00
   33      13.00       7.00       0.00      42.00     150.00       0.00
   34       7.00      12.00       0.00      29.00     118.00       0.00
   35      27.00      41.00       0.00     346.00     404.00       0.00
   36      20.00      40.00       0.00       0.00      99.00       0.00
   37      17.00      13.00       0.00     101.00     181.00       0.00
   38      45.00      39.00       0.00     259.00     357.00       0.00
   39      13.00      20.00       0.00       0.00     183.00       0.00
   40      27.00      44.00       0.00     411.00     443.00       0.00
   41       0.00       0.00       0.00       0.00     499.00       0.00
