!! n40w80.003    69.78 498



CUST_NO.   XCOORD.   YCOORD.    DEMAND   READY_TIME   DUE_DATE   SERVICE_TIME

    0      43.00       3.00       0.00       0.00     573.00       0.00
    1       1.00      33.00       0.00     224.00     277.00       0.00
    2       3.00      33.00       0.00     139.00     266.00       0.00
    3      11.00      42.00       0.00     264.00     332.00       0.00
    4       9.00      33.00       0.00     180.00     198.00       0.00
    5       5.00       4.00       0.00     106.00     120.00       0.00
    6       2.00       2.00       0.00      97.00     192.00       0.00
    7      16.00      33.00       0.00     165.00     201.00       0.00
    8       6.00       1.00       0.00      82.00     119.00       0.00
    9      41.00      36.00       0.00     318.00     382.00       0.00
   10      23.00      10.00       0.00      27.00      66.00       0.00
   11      47.00       4.00       0.00     347.00     417.00       0.00
   12      12.00      35.00       0.00     203.00     284.00       0.00
   13      13.00      28.00       0.00     149.00     227.00       0.00
   14      32.00      19.00       0.00       0.00     118.00       0.00
   15      23.00       5.00       0.00      73.00     152.00       0.00
   16      35.00      27.00       0.00      31.00      83.00       0.00
   17      39.00      28.00       0.00     330.00     397.00       0.00
   18      29.00       1.00       0.00       0.00      47.00       0.00
   19      50.00       8.00       0.00     356.00     390.00       0.00
   20      10.00      24.00       0.00     138.00     224.00       0.00
   21      30.00      23.00       0.00      49.00     106.00       0.00
   22      12.00       7.00       0.00      64.00     142.00       0.00
   23      23.00      49.00       0.00     270.00     340.00       0.00
   24      34.00      22.00       0.00      45.00     101.00       0.00
   25      14.00      19.00       0.00     146.00     236.00       0.00
   26      10.00      24.00       0.00      93.00     179.00       0.00
   27       0.00       2.00       0.00     119.00     159.00       0.00
   28       1.00      43.00       0.00     230.00     286.00       0.00
   29       0.00      15.00       0.00     192.00     250.00       0.00
   30      42.00      34.00       0.00     339.00     453.00       0.00
   31      39.00       1.00       0.00       0.00       6.00       0.00
   32      24.00      18.00       0.00       8.00     113.00       0.00
   33       1.00      25.00       0.00     166.00     226.00       0.00
   34      36.00       9.00       0.00       0.00      26.00       0.00
   35       4.00       3.00       0.00      57.00     144.00       0.00
   36       9.00      49.00       0.00     378.00     483.00       0.00
   37      20.00      34.00       0.00      99.00     229.00       0.00
   38      21.00       4.00       0.00       0.00     100.00       0.00
   39      49.00       5.00       0.00     432.00     567.00       0.00
   40      13.00      32.00       0.00     380.00     449.00       0.00
   41       0.00       0.00       0.00       0.00     573.00       0.00
