!! n60w100.001    93.73 582

CUST_NO.   XCOORD.   YCOORD.    DEMAND   READY_TIME   DUE_DATE   SERVICE_TIME

    0       9.00      20.00       0.00       0.00     586.00       0.00
    1       9.00      19.00       0.00       0.00      93.00       0.00
    2      25.00      10.00       0.00     224.00     370.00       0.00
    3      19.00       6.00       0.00     398.00     545.00       0.00
    4       4.00      45.00       0.00     308.00     375.00       0.00
    5      30.00      28.00       0.00       6.00     153.00       0.00
    6      10.00      23.00       0.00       0.00      79.00       0.00
    7      41.00      16.00       0.00     163.00     320.00       0.00
    8      45.00      18.00       0.00     148.00     296.00       0.00
    9       6.00       1.00       0.00     439.00     523.00       0.00
   10       2.00      35.00       0.00     363.00     419.00       0.00
   11      33.00      17.00       0.00     428.00     461.00       0.00
   12      24.00      31.00       0.00      37.00     165.00       0.00
   13      27.00       2.00       0.00     227.00     360.00       0.00
   14       6.00       4.00       0.00     232.00     337.00       0.00
   15      33.00      44.00       0.00     123.00     250.00       0.00
   16      43.00      16.00       0.00     158.00     283.00       0.00
   17       8.00      20.00       0.00       0.00      62.00       0.00
   18      27.00      39.00       0.00      53.00     176.00       0.00
   19      12.00      13.00       0.00       0.00      73.00       0.00
   20      28.00      39.00       0.00      75.00     151.00       0.00
   21      37.00      49.00       0.00     399.00     470.00       0.00
   22      29.00       1.00       0.00     184.00     290.00       0.00
   23      44.00      45.00       0.00     110.00     171.00       0.00
   24      34.00       2.00       0.00     172.00     303.00       0.00
   25       3.00      29.00       0.00     254.00     405.00       0.00
   26      35.00      23.00       0.00       0.00      70.00       0.00
   27       9.00      36.00       0.00     331.00     435.00       0.00
   28      45.00      29.00       0.00     123.00     221.00       0.00
   29      31.00      17.00       0.00      41.00      63.00       0.00
   30      29.00      46.00       0.00      60.00     127.00       0.00
   31      49.00      12.00       0.00     209.00     297.00       0.00
   32      16.00      10.00       0.00     210.00     301.00       0.00
   33       4.00      14.00       0.00     256.00     342.00       0.00
   34      41.00      29.00       0.00      73.00     181.00       0.00
   35       7.00      42.00       0.00     292.00     434.00       0.00
   36      15.00      18.00       0.00       0.00     105.00       0.00
   37      29.00      24.00       0.00       6.00     171.00       0.00
   38      33.00      19.00       0.00       0.00      68.00       0.00
   39      22.00      32.00       0.00      25.00     134.00       0.00
   40      48.00      43.00       0.00     179.00     253.00       0.00
   41      47.00      18.00       0.00     193.00     238.00       0.00
   42      30.00       4.00       0.00     226.00     333.00       0.00
   43       5.00      22.00       0.00       0.00      39.00       0.00
   44      39.00      48.00       0.00     113.00     215.00       0.00
   45      40.00      27.00       0.00     137.00     167.00       0.00
   46      36.00      18.00       0.00      46.00     130.00       0.00
   47      23.00      15.00       0.00       0.00      93.00       0.00
   48      45.00      38.00       0.00      83.00     202.00       0.00
   49      29.00       2.00       0.00     518.00     559.00       0.00
   50       5.00      28.00       0.00       0.00      52.00       0.00
   51      14.00      17.00       0.00       0.00     105.00       0.00
   52      20.00       5.00       0.00     260.00     375.00       0.00
   53      12.00      37.00       0.00     513.00     531.00       0.00
   54      46.00      29.00       0.00     181.00     259.00       0.00
   55       1.00       2.00       0.00     232.00     319.00       0.00
   56      21.00      35.00       0.00      31.00     189.00       0.00
   57       6.00      20.00       0.00       0.00      87.00       0.00
   58      29.00      22.00       0.00     105.00     202.00       0.00
   59       2.00      40.00       0.00     274.00     394.00       0.00
   60       7.00      40.00       0.00     496.00     517.00       0.00
   61       0.00       0.00       0.00       0.00     586.00       0.00

