!! n60w40.004    40.02 638


  CUST_NO.   XCOORD.   YCOORD.    DEMAND   READY_TIME   DUE_DATE   SERVICE_TIME


    0      36.00      48.00       0.00       0.00     643.00       0.00
    1      20.00      23.00       0.00     285.00     339.00       0.00
    2       2.00      47.00       0.00     219.00     263.00       0.00
    3      31.00      39.00       0.00       0.00      21.00       0.00
    4      44.00      35.00       0.00     151.00     210.00       0.00
    5      37.00      25.00       0.00     122.00     167.00       0.00
    6      41.00      33.00       0.00     613.00     628.00       0.00
    7      27.00      30.00       0.00     245.00     299.00       0.00
    8      18.00      43.00       0.00       9.00      66.00       0.00
    9       7.00      16.00       0.00      64.00      72.00       0.00
   10      25.00      36.00       0.00       0.00      23.00       0.00
   11       9.00      46.00       0.00     205.00     265.00       0.00
   12       6.00      23.00       0.00      26.00      64.00       0.00
   13       9.00      33.00       0.00      36.00      56.00       0.00
   14      24.00      38.00       0.00     178.00     232.00       0.00
   15      38.00      35.00       0.00     177.00     192.00       0.00
   16      30.00       4.00       0.00     387.00     400.00       0.00
   17      19.00      31.00       0.00     243.00     293.00       0.00
   18      25.00      19.00       0.00     270.00     303.00       0.00
   19      29.00      31.00       0.00     195.00     223.00       0.00
   20      10.00      42.00       0.00     215.00     231.00       0.00
   21      49.00      11.00       0.00     104.00     146.00       0.00
   22      40.00       4.00       0.00     119.00     140.00       0.00
   23      17.00       6.00       0.00      60.00     100.00       0.00
   24       8.00      28.00       0.00      16.00      70.00       0.00
   25      36.00      18.00       0.00     331.00     386.00       0.00
   26      15.00      33.00       0.00      39.00      81.00       0.00
   27      13.00       9.00       0.00      50.00      98.00       0.00
   28      37.00      13.00       0.00     440.00     483.00       0.00
   29      20.00       4.00       0.00      67.00     112.00       0.00
   30      19.00      49.00       0.00     219.00     258.00       0.00
   31       6.00       8.00       0.00      43.00      94.00       0.00
   32       2.00      11.00       0.00      57.00      97.00       0.00
   33      15.00      13.00       0.00     310.00     331.00       0.00
   34      40.00       5.00       0.00     360.00     387.00       0.00
   35       9.00      12.00       0.00      82.00      97.00       0.00
   36      35.00      12.00       0.00     330.00     390.00       0.00
   37      31.00      30.00       0.00     154.00     207.00       0.00
   38      16.00      39.00       0.00      29.00      75.00       0.00
   39      46.00       4.00       0.00      99.00     140.00       0.00
   40      29.00      17.00       0.00     343.00     395.00       0.00
   41      32.00       6.00       0.00      90.00     133.00       0.00
   42      15.00      20.00       0.00     271.00     320.00       0.00
   43      34.00       2.00       0.00     115.00     139.00       0.00
   44       9.00      43.00       0.00     221.00     248.00       0.00
   45      38.00      44.00       0.00     469.00     502.00       0.00
   46       6.00       9.00       0.00     312.00     356.00       0.00
   47      15.00      25.00       0.00     329.00     376.00       0.00
   48       6.00      44.00       0.00     200.00     240.00       0.00
   49      27.00       8.00       0.00      79.00     116.00       0.00
   50      24.00      42.00       0.00      27.00      63.00       0.00
   51      17.00      44.00       0.00     189.00     244.00       0.00
   52      16.00       3.00       0.00     379.00     441.00       0.00
   53      27.00       4.00       0.00      81.00     135.00       0.00
   54      28.00      29.00       0.00     158.00     228.00       0.00
   55      28.00      38.00       0.00       0.00      33.00       0.00
   56       4.00      43.00       0.00     562.00     590.00       0.00
   57      49.00      22.00       0.00     125.00     159.00       0.00
   58       8.00      29.00       0.00     420.00     457.00       0.00
   59      44.00      25.00       0.00     127.00     190.00       0.00
   60       8.00       5.00       0.00     510.00     553.00       0.00
   61       0.00       0.00       0.00       0.00     643.00       0.00
