!! n80w20.003    18.60 737


CUST_NO.   XCOORD.   YCOORD.   DEMAND   READY_TIME   DUE_DATE   SERVICE_TIME

      0     10.00     16.00     0.00       0.00     748.00      0.00
      1     49.00     45.00     0.00     359.00     374.00      0.00
      2     31.00     32.00     0.00     103.00     107.00      0.00
      3     12.00     44.00     0.00      44.00      71.00      0.00
      4      4.00      1.00     0.00     231.00     261.00      0.00
      5      1.00      3.00     0.00     644.00     662.00      0.00
      6     14.00     39.00     0.00      54.00      59.00      0.00
      7     42.00     16.00     0.00     456.00     480.00      0.00
      8      7.00      6.00     0.00      14.00      24.00      0.00
      9     34.00     27.00     0.00     117.00     119.00      0.00
     10     10.00     34.00     0.00      45.00      68.00      0.00
     11     12.00     10.00     0.00       9.00      22.00      0.00
     12     30.00     39.00     0.00     328.00     347.00      0.00
     13     20.00     30.00     0.00      91.00     101.00      0.00
     14     27.00     40.00     0.00     301.00     329.00      0.00
     15     40.00     33.00     0.00     395.00     420.00      0.00
     16     37.00     37.00     0.00     337.00     350.00      0.00
     17     35.00     31.00     0.00     105.00     109.00      0.00
     18     47.00     49.00     0.00     351.00     381.00      0.00
     19     47.00     20.00     0.00     426.00     441.00      0.00
     20     37.00     30.00     0.00     101.00     114.00      0.00
     21     46.00     14.00     0.00     456.00     483.00      0.00
     22     45.00     30.00     0.00     441.00     466.00      0.00
     23     41.00      8.00     0.00     475.00     494.00      0.00
     24     25.00     28.00     0.00      93.00      98.00      0.00
     25     36.00     20.00     0.00     120.00     150.00      0.00
     26     47.00     40.00     0.00     349.00     365.00      0.00
     27     44.00     30.00     0.00     398.00     407.00      0.00
     28     13.00     28.00     0.00     273.00     281.00      0.00
     29     39.00     45.00     0.00     572.00     595.00      0.00
     30     36.00     24.00     0.00     109.00     131.00      0.00
     31     18.00     31.00     0.00     282.00     302.00      0.00
     32      9.00     38.00     0.00     534.00     549.00      0.00
     33     50.00     19.00     0.00     463.00     494.00      0.00
     34      2.00     16.00     0.00      24.00      28.00      0.00
     35     24.00     47.00     0.00     304.00     340.00      0.00
     36     33.00     17.00     0.00     124.00     144.00      0.00
     37     39.00     37.00     0.00     344.00     364.00      0.00
     38     30.00     19.00     0.00     412.00     426.00      0.00
     39     35.00      7.00     0.00     128.00     157.00      0.00
     40     36.00     39.00     0.00     337.00     343.00      0.00
     41     12.00     31.00     0.00      43.00      57.00      0.00
     42     38.00      2.00     0.00     148.00     173.00      0.00
     43     40.00      1.00     0.00     171.00     181.00      0.00
     44      3.00     22.00     0.00      33.00      37.00      0.00
     45      4.00     40.00     0.00      62.00      78.00      0.00
     46      9.00     12.00     0.00       0.00       9.00      0.00
     47     37.00     21.00     0.00     412.00     436.00      0.00
     48      8.00     31.00     0.00      29.00      57.00      0.00
     49     28.00      9.00     0.00     174.00     212.00      0.00
     50      9.00      9.00     0.00       5.00      27.00      0.00
     51     26.00     13.00     0.00     214.00     218.00      0.00
     52      6.00     38.00     0.00      64.00      87.00      0.00
     53      8.00     10.00     0.00     250.00     277.00      0.00
     54      6.00     18.00     0.00     520.00     529.00      0.00
     55     43.00      6.00     0.00     165.00     187.00      0.00
     56     24.00     15.00     0.00     188.00     204.00      0.00
     57     15.00     21.00     0.00     256.00     283.00      0.00
     58     35.00      0.00     0.00     150.00     169.00      0.00
     59     37.00      9.00     0.00     166.00     178.00      0.00
     60     41.00     37.00     0.00     386.00     394.00      0.00
     61     34.00     32.00     0.00      94.00     126.00      0.00
     62     46.00     41.00     0.00     356.00     377.00      0.00
     63     44.00     16.00     0.00     599.00     606.00      0.00
     64     20.00      7.00     0.00     193.00     211.00      0.00
     65     43.00     20.00     0.00     435.00     441.00      0.00
     66      5.00     11.00     0.00       9.00      34.00      0.00
     67     47.00     47.00     0.00     365.00     382.00      0.00
     68     21.00     48.00     0.00     688.00     714.00      0.00
     69     17.00     34.00     0.00      75.00      96.00      0.00
     70     38.00     40.00     0.00     340.00     357.00      0.00
     71     43.00     40.00     0.00     334.00     366.00      0.00
     72     20.00     13.00     0.00     185.00     209.00      0.00
     73     36.00     14.00     0.00     130.00     150.00      0.00
     74     12.00     17.00     0.00     255.00     274.00      0.00
     75     38.00     29.00     0.00     102.00     134.00      0.00
     76     14.00     18.00     0.00     276.00     304.00      0.00
     77     37.00      9.00     0.00     140.00     154.00      0.00
     78     21.00      2.00     0.00     218.00     237.00      0.00
     79     49.00     23.00     0.00     430.00     453.00      0.00
     80     24.00     40.00     0.00     683.00     706.00      0.00
     81      0.00      0.00     0.00       0.00     748.00      0.00
