!! n80w80.003    80.54 748


CUST_NO.   XCOORD.   YCOORD.    DEMAND   READY_TIME   DUE_DATE   SERVICE_TIME


    0      32.00      38.00       0.00       0.00     811.00       0.00
    1      47.00      18.00       0.00      55.00     133.00       0.00
    2       6.00      13.00       0.00     190.00     298.00       0.00
    3      38.00      33.00       0.00       0.00     138.00       0.00
    4      33.00      15.00       0.00     102.00     187.00       0.00
    5      20.00      14.00       0.00     191.00     293.00       0.00
    6      40.00      27.00       0.00     520.00     602.00       0.00
    7      49.00       0.00       0.00     270.00     377.00       0.00
    8      41.00       7.00       0.00      74.00     174.00       0.00
    9       3.00      29.00       0.00     342.00     409.00       0.00
   10      33.00       5.00       0.00      88.00     140.00       0.00
   11      40.00       6.00       0.00      83.00     151.00       0.00
   12       9.00      15.00       0.00     154.00     231.00       0.00
   13      40.00      28.00       0.00      59.00     135.00       0.00
   14       8.00      31.00       0.00     295.00     375.00       0.00
   15      31.00      11.00       0.00      52.00     203.00       0.00
   16       2.00      20.00       0.00     131.00     260.00       0.00
   17      49.00      42.00       0.00       0.00     119.00       0.00
   18      46.00      38.00       0.00       0.00      80.00       0.00
   19      36.00      38.00       0.00       0.00      98.00       0.00
   20      37.00      48.00       0.00     422.00     521.00       0.00
   21       7.00      37.00       0.00     357.00     469.00       0.00
   22       3.00       8.00       0.00     209.00     244.00       0.00
   23       6.00       6.00       0.00     206.00     284.00       0.00
   24      25.00       6.00       0.00     220.00     307.00       0.00
   25      33.00      45.00       0.00       0.00      14.00       0.00
   26      18.00      42.00       0.00     707.00     791.00       0.00
   27      50.00      16.00       0.00     491.00     602.00       0.00
   28       3.00      40.00       0.00     432.00     453.00       0.00
   29      10.00      21.00       0.00     146.00     196.00       0.00
   30      22.00       1.00       0.00     237.00     310.00       0.00
   31       9.00      22.00       0.00     371.00     391.00       0.00
   32      10.00       9.00       0.00     159.00     231.00       0.00
   33       6.00      14.00       0.00     177.00     289.00       0.00
   34      33.00      16.00       0.00      69.00     175.00       0.00
   35      22.00       5.00       0.00     253.00     325.00       0.00
   36       7.00      22.00       0.00     201.00     219.00       0.00
   37      38.00       6.00       0.00      19.00     107.00       0.00
   38      50.00      10.00       0.00     554.00     658.00       0.00
   39      34.00      31.00       0.00     113.00     185.00       0.00
   40      42.00       9.00       0.00      20.00     118.00       0.00
   41      21.00      27.00       0.00     149.00     230.00       0.00
   42      36.00       1.00       0.00      52.00     138.00       0.00
   43       1.00      16.00       0.00     343.00     454.00       0.00
   44       4.00      43.00       0.00     659.00     684.00       0.00
   45      27.00      29.00       0.00      91.00     167.00       0.00
   46       0.00      11.00       0.00     216.00     305.00       0.00
   47      35.00      13.00       0.00     125.00     192.00       0.00
   48      32.00      44.00       0.00       0.00      53.00       0.00
   49      22.00      36.00       0.00     417.00     491.00       0.00
   50      21.00      50.00       0.00     442.00     535.00       0.00
   51      43.00      25.00       0.00       3.00      83.00       0.00
   52      50.00      43.00       0.00       0.00      66.00       0.00
   53       4.00      11.00       0.00     154.00     259.00       0.00
   54      10.00      22.00       0.00     153.00     210.00       0.00
   55      15.00      22.00       0.00     176.00     257.00       0.00
   56      14.00      22.00       0.00     348.00     435.00       0.00
   57      39.00      36.00       0.00      31.00      36.00       0.00
   58      28.00      41.00       0.00       0.00      59.00       0.00
   59      49.00      42.00       0.00     555.00     634.00       0.00
   60      42.00      18.00       0.00      30.00     140.00       0.00
   61      28.00      23.00       0.00     127.00     161.00       0.00
   62      34.00      25.00       0.00     134.00     178.00       0.00
   63      23.00       3.00       0.00     273.00     400.00       0.00
   64      39.00      46.00       0.00     454.00     513.00       0.00
   65      34.00      30.00       0.00     152.00     202.00       0.00
   66      37.00       1.00       0.00     264.00     357.00       0.00
   67      11.00      31.00       0.00     377.00     459.00       0.00
   68      18.00      43.00       0.00     374.00     471.00       0.00
   69      36.00       6.00       0.00     253.00     336.00       0.00
   70      37.00      34.00       0.00       0.00      74.00       0.00
   71      44.00      15.00       0.00      46.00     147.00       0.00
   72      15.00      29.00       0.00     305.00     436.00       0.00
   73      42.00       1.00       0.00      42.00     156.00       0.00
   74      10.00      23.00       0.00     183.00     239.00       0.00
   75       9.00      25.00       0.00     182.00     215.00       0.00
   76      45.00      38.00       0.00       0.00      93.00       0.00
   77      35.00      42.00       0.00       0.00      93.00       0.00
   78      38.00      13.00       0.00     480.00     615.00       0.00
   79      47.00      48.00       0.00     496.00     533.00       0.00
   80       5.00      15.00       0.00     676.00     776.00       0.00
   81       0.00       0.00       0.00       0.00     811.00       0.00


